Manufacturer,Vestas
Model,V47-660_Vestas
Capacity,660
Usage,Onshore
HubHeight,"40, 55"
Source,World Wind Farm 2023
RotorDiameter,47.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,15
5.0,51
5.5,85
6.0,120
6.5,172
7.0,225
7.5,290
8.0,360
8.5,410
9.0,460
9.5,510
10.0,550
10.5,585
11.0,610
11.5,625
12.0,638
12.5,648
13.0,655
13.5,658
14.0,660
14.5,660
15.0,660
15.5,660
16.0,660
16.5,660
17.0,660
17.5,660
18.0,660
18.5,660
19.0,660
19.5,660
20.0,660
20.5,660
21.0,660
21.5,660
22.0,660
22.5,660
23.0,660
23.5,660
24.0,660
24.5,660
25.0,660
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
