Manufacturer,Nordtank
Model,150XLR_Nordtank
Capacity,150
Usage,Onshore
HubHeight,"32.5, 32.5"
Source,World Wind Farm 2023
RotorDiameter,24.6
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,6
5.5,13
6.0,21
6.5,31
7.0,40
7.5,52
8.0,63
8.5,75
9.0,87
9.5,100
10.0,113
10.5,124
11.0,134
11.5,143
12.0,152
12.5,157
13.0,160
13.5,161
14.0,160
14.5,158
15.0,154
15.5,0
16.0,0
16.5,0
17.0,0
17.5,0
18.0,0
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
