Manufacturer,Fuhrländer
Model,FL_800-48_Fuhrländer
Capacity,800
Usage,Onshore
HubHeight,"60, 70"
Source,World Wind Farm 2023
RotorDiameter,48.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,2
3.0,5
3.5,8
4.0,11
4.5,25
5.0,39
5.5,64
6.0,90
6.5,124
7.0,158
7.5,200
8.0,242
8.5,291
9.0,340
9.5,395
10.0,450
10.5,509
11.0,567
11.5,620
12.0,673
12.5,720
13.0,757
13.5,792
14.0,819
14.5,835
15.0,849
15.5,850
16.0,851
16.5,844
17.0,834
17.5,821
18.0,806
18.5,798
19.0,789
19.5,782
20.0,774
20.5,769
21.0,763
21.5,759
22.0,754
22.5,750
23.0,746
23.5,743
24.0,739
24.5,737
25.0,735
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
