Manufacturer,Enercon
Model,E138-3500_Enercon
Capacity,3500
Usage,Onshore
HubHeight,"81, 160"
Source,World Wind Farm 2023
RotorDiameter,138.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,30
3.0,69
3.5,138
4.0,228
4.5,330
5.0,460
5.5,640
6.0,890
6.5,1140
7.0,1417
7.5,1735
8.0,2056
8.5,2330
9.0,2594
9.5,2860
10.0,3111
10.5,3270
11.0,3368
11.5,3420
12.0,3453
12.5,3485
13.0,3500
13.5,3500
14.0,3500
14.5,3500
15.0,3500
15.5,3500
16.0,3500
16.5,3500
17.0,3500
17.5,3500
18.0,3500
18.5,3500
19.0,3500
19.5,3500
20.0,3500
20.5,3485
21.0,3465
21.5,3450
22.0,3426
22.5,3405
23.0,3363
23.5,3300
24.0,3230
24.5,3105
25.0,2966
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
