Manufacturer,Fuhrländer
Model,FL_250-30_Fuhrländer
Capacity,250
Usage,Onshore
HubHeight,"42, 50"
Source,World Wind Farm 2023
RotorDiameter,29.5
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,1
3.5,4
4.0,7
4.5,13
5.0,18
5.5,27
6.0,35
6.5,47
7.0,60
7.5,76
8.0,93
8.5,108
9.0,123
9.5,134
10.0,145
10.5,157
11.0,168
11.5,179
12.0,190
12.5,199
13.0,208
13.5,216
14.0,223
14.5,229
15.0,235
15.5,239
16.0,242
16.5,242
17.0,241
17.5,237
18.0,232
18.5,229
19.0,226
19.5,224
20.0,221
20.5,220
21.0,218
21.5,216
22.0,214
22.5,213
23.0,212
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
