Manufacturer,Made
Model,AE-61_Made
Capacity,1320
Usage,Onshore
HubHeight,"58.5, 58.5"
Source,World Wind Farm 2023
RotorDiameter,61.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,15
4.0,33
4.5,52
5.0,74
5.5,110
6.0,149
6.5,195
7.0,245
7.5,308
8.0,375
8.5,463
9.0,550
9.5,648
10.0,745
10.5,829
11.0,913
11.5,985
12.0,1056
12.5,1111
13.0,1165
13.5,1206
14.0,1247
14.5,1272
15.0,1292
15.5,1308
16.0,1319
16.5,1321
17.0,1322
17.5,1318
18.0,1311
18.5,1298
19.0,1282
19.5,1266
20.0,1249
20.5,1235
21.0,1220
21.5,1210
22.0,1201
22.5,1194
23.0,1186
23.5,1184
24.0,1181
24.5,1181
25.0,1181
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
