Manufacturer,Windey
Model,WD52-800kW_Windey
Capacity,800
Usage,Onshore
HubHeight,"50, 65"
Source,World Wind Farm 2023
RotorDiameter,52.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,7
4.0,16
4.5,33
5.0,52
5.5,79
6.0,107
6.5,142
7.0,184
7.5,234
8.0,287
8.5,338
9.0,395
9.5,456
10.0,516
10.5,566
11.0,615
11.5,656
12.0,696
12.5,730
13.0,764
13.5,790
14.0,810
14.5,830
15.0,842
15.5,849
16.0,855
16.5,857
17.0,858
17.5,854
18.0,848
18.5,841
19.0,833
19.5,824
20.0,814
20.5,805
21.0,796
21.5,788
22.0,779
22.5,772
23.0,764
23.5,763
24.0,763
24.5,756
25.0,748
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
