Manufacturer,Fuhrländer
Model,FL_100-21_Fuhrländer
Capacity,100
Usage,Onshore
HubHeight,"35, 38"
Source,World Wind Farm 2023
RotorDiameter,21.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,2
5.0,4
5.5,8
6.0,14
6.5,21
7.0,29
7.5,36
8.0,44
8.5,52
9.0,60
9.5,67
10.0,75
10.5,83
11.0,89
11.5,95
12.0,98
12.5,99
13.0,100
13.5,99
14.0,98
14.5,96
15.0,93
15.5,89
16.0,85
16.5,82
17.0,79
17.5,76
18.0,73
18.5,70
19.0,67
19.5,66
20.0,67
20.5,68
21.0,69
21.5,70
22.0,71
22.5,72
23.0,73
23.5,74
24.0,75
24.5,76
25.0,77
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
