Manufacturer,Pioneer Wincon
Model,P250-29_Pioneer_Wincon
Capacity,250
Usage,Onshore
HubHeight,"48, 48"
Source,World Wind Farm 2023
RotorDiameter,29.6
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,4
4.0,8
4.5,13
5.0,17
5.5,24
6.0,31
6.5,42
7.0,54
7.5,70
8.0,86
8.5,102
9.0,118
9.5,136
10.0,152
10.5,167
11.0,179
11.5,192
12.0,204
12.5,217
13.0,230
13.5,240
14.0,247
14.5,251
15.0,253
15.5,253
16.0,252
16.5,250
17.0,248
17.5,248
18.0,247
18.5,247
19.0,246
19.5,246
20.0,246
20.5,246
21.0,245
21.5,243
22.0,240
22.5,239
23.0,238
23.5,237
24.0,236
24.5,236
25.0,236
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
