Manufacturer,Bonus
Model,B35-450_Bonus
Capacity,450
Usage,Onshore
HubHeight,"30, 35"
Source,World Wind Farm 2023
RotorDiameter,35.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,11
5.0,25
5.5,42
6.0,64
6.5,87
7.0,112
7.5,139
8.0,167
8.5,199
9.0,230
9.5,259
10.0,287
10.5,315
11.0,343
11.5,366
12.0,390
12.5,410
13.0,428
13.5,443
14.0,454
14.5,464
15.0,470
15.5,477
16.0,483
16.5,484
17.0,484
17.5,475
18.0,463
18.5,455
19.0,447
19.5,439
20.0,431
20.5,425
21.0,420
21.5,412
22.0,405
22.5,398
23.0,392
23.5,388
24.0,385
24.5,385
25.0,385
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
