Manufacturer,Gamesa
Model,G128-5000_Gamesa
Capacity,5000
Usage,Offshore
HubHeight,"80, 94"
Source,World Wind Farm 2023
RotorDiameter,128.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,75
2.5,120
3.0,165
3.5,230
4.0,300
4.5,450
5.0,600
5.5,760
6.0,967
6.5,1250
7.0,1533
7.5,1930
8.0,2326
8.5,2723
9.0,3119
9.5,3465
10.0,3811
10.5,4130
11.0,4440
11.5,4600
12.0,4755
12.5,4850
13.0,4920
13.5,4940
14.0,4980
14.5,5000
15.0,5000
15.5,5000
16.0,5000
16.5,5000
17.0,5000
17.5,4992
18.0,4954
18.5,4916
19.0,4859
19.5,4802
20.0,4751
20.5,4700
21.0,4622
21.5,4545
22.0,4420
22.5,4310
23.0,4200
23.5,4097
24.0,3994
24.5,3872
25.0,3750
25.5,3625
26.0,3500
26.5,3325
27.0,3150
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
