Manufacturer,Tacke
Model,TW-600_Tacke
Capacity,600
Usage,Onshore
HubHeight,"50, 50"
Source,World Wind Farm 2023
RotorDiameter,43.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,3
3.5,15
4.0,25
4.5,36
5.0,47
5.5,60
6.0,79
6.5,106
7.0,132
7.5,165
8.0,197
8.5,233
9.0,268
9.5,306
10.0,343
10.5,380
11.0,416
11.5,447
12.0,478
12.5,501
13.0,523
13.5,548
14.0,573
14.5,591
15.0,608
15.5,622
16.0,628
16.5,630
17.0,631
17.5,630
18.0,628
18.5,628
19.0,627
19.5,625
20.0,623
20.5,619
21.0,615
21.5,612
22.0,608
22.5,604
23.0,600
23.5,600
24.0,600
24.5,600
25.0,600
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
