Manufacturer,Vergnet
Model,GEV_HP_1000-62_Vergnet
Capacity,1000
Usage,Onshore
HubHeight,"60, 70"
Source,World Wind Farm 2023
RotorDiameter,62.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,12
4.0,30
4.5,50
5.0,73
5.5,106
6.0,140
6.5,183
7.0,228
7.5,295
8.0,362
8.5,439
9.0,515
9.5,608
10.0,700
10.5,775
11.0,850
11.5,895
12.0,930
12.5,958
13.0,969
13.5,985
14.0,992
14.5,998
15.0,1000
15.5,1000
16.0,1000
16.5,1000
17.0,1000
17.5,1000
18.0,1000
18.5,1000
19.0,1000
19.5,1000
20.0,1000
20.5,1000
21.0,1000
21.5,1000
22.0,1000
22.5,1000
23.0,1000
23.5,1000
24.0,1000
24.5,1000
25.0,1000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
