Manufacturer,Vindsyssel
Model,VS150-22_Vindsyssel
Capacity,150
Usage,Onshore
HubHeight,"25, 31"
Source,World Wind Farm 2023
RotorDiameter,22.6
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,3
4.5,6
5.0,10
5.5,14
6.0,18
6.5,23
7.0,29
7.5,35
8.0,42
8.5,52
9.0,62
9.5,73
10.0,84
10.5,96
11.0,107
11.5,117
12.0,125
12.5,133
13.0,140
13.5,145
14.0,149
14.5,150
15.0,151
15.5,150
16.0,149
16.5,148
17.0,146
17.5,142
18.0,137
18.5,134
19.0,132
19.5,130
20.0,129
20.5,129
21.0,128
21.5,128
22.0,127
22.5,126
23.0,125
23.5,124
24.0,124
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
