Manufacturer,Nordex
Model,N62-1300_Nordex
Capacity,1300
Usage,Onshore
HubHeight,"60, 80"
Source,World Wind Farm 2023
RotorDiameter,62.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,7
3.5,10
4.0,24
4.5,59
5.0,91
5.5,122
6.0,161
6.5,200
7.0,252
7.5,325
8.0,415
8.5,560
9.0,671
9.5,755
10.0,843
10.5,923
11.0,990
11.5,1056
12.0,1115
12.5,1171
13.0,1230
13.5,1269
14.0,1287
14.5,1290
15.0,1290
15.5,1290
16.0,1285
16.5,1275
17.0,1259
17.5,1248
18.0,1231
18.5,1213
19.0,1199
19.5,1189
20.0,1178
20.5,1168
21.0,1152
21.5,1147
22.0,1140
22.5,1136
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
