Manufacturer,e.n.o. energy
Model,152_5.6_MW_e.n.o._energy
Capacity,5600
Usage,Onshore
HubHeight,"124, 165"
Source,World Wind Farm 2023
RotorDiameter,152.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,248
4.5,515
5.0,800
5.5,1145
6.0,1497
6.5,1880
7.0,2262
7.5,2630
8.0,2999
8.5,3355
9.0,3715
9.5,4035
10.0,4353
10.5,4655
11.0,4950
11.5,5130
12.0,5330
12.5,5480
13.0,5575
13.5,5600
14.0,5600
14.5,5600
15.0,5600
15.5,5600
16.0,5600
16.5,5600
17.0,5600
17.5,5600
18.0,5600
18.5,5600
19.0,5600
19.5,5600
20.0,5600
20.5,5600
21.0,5600
21.5,5600
22.0,5600
22.5,5600
23.0,5600
23.5,5600
24.0,5600
24.5,5600
25.0,5600
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
