Manufacturer,e.n.o. energy
Model,126_3.5_MW_e.n.o._energy
Capacity,3500
Usage,Onshore
HubHeight,"97, 137"
Source,World Wind Farm 2023
RotorDiameter,126.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,110
3.5,234
4.0,341
4.5,490
5.0,644
5.5,840
6.0,1035
6.5,1338
7.0,1641
7.5,1979
8.0,2317
8.5,2655
9.0,2993
9.5,3313
10.0,3450
10.5,3500
11.0,3500
11.5,3500
12.0,3500
12.5,3500
13.0,3500
13.5,3500
14.0,3500
14.5,3500
15.0,3500
15.5,3500
16.0,3500
16.5,3500
17.0,3500
17.5,3500
18.0,3500
18.5,3500
19.0,3500
19.5,3500
20.0,3500
20.5,3500
21.0,3500
21.5,3500
22.0,3500
22.5,3500
23.0,3500
23.5,3500
24.0,3500
24.5,3500
25.0,3500
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
