Manufacturer,Vindsyssel
Model,VS130-22_Vindsyssel
Capacity,130
Usage,Onshore
HubHeight,"26, 26"
Source,World Wind Farm 2023
RotorDiameter,22.2
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,3
5.0,7
5.5,12
6.0,17
6.5,22
7.0,28
7.5,37
8.0,46
8.5,57
9.0,69
9.5,80
10.0,93
10.5,103
11.0,112
11.5,121
12.0,129
12.5,134
13.0,137
13.5,137
14.0,135
14.5,133
15.0,129
15.5,125
16.0,120
16.5,116
17.0,113
17.5,110
18.0,107
18.5,103
19.0,102
19.5,100
20.0,95
20.5,90
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
