Manufacturer,Siemens
Model,SWT-2.625-120_Siemens
Capacity,2625
Usage,Onshore
HubHeight,"85.1, 85.1"
Source,World Wind Farm 2023
RotorDiameter,120.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,24
3.0,54
3.5,113
4.0,175
4.5,281
5.0,390
5.5,548
6.0,708
6.5,918
7.0,1130
7.5,1376
8.0,1622
8.5,1912
9.0,2200
9.5,2400
10.0,2549
10.5,2605
11.0,2625
11.5,2625
12.0,2625
12.5,2625
13.0,2625
13.5,2625
14.0,2625
14.5,2625
15.0,2625
15.5,2625
16.0,2625
16.5,2625
17.0,2625
17.5,2625
18.0,2625
18.5,2625
19.0,2625
19.5,2625
20.0,2625
20.5,2625
21.0,2625
21.5,2625
22.0,2625
22.5,2625
23.0,2625
23.5,2625
24.0,2625
24.5,2625
25.0,2625
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
