Manufacturer,Norwin
Model,29-STALL-200_kW_Norwin
Capacity,200
Usage,Onshore
HubHeight,"30, 50"
Source,World Wind Farm 2023
RotorDiameter,29.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,1
4.5,3
5.0,7
5.5,15
6.0,26
6.5,39
7.0,53
7.5,68
8.0,84
8.5,98
9.0,112
9.5,126
10.0,139
10.5,151
11.0,163
11.5,173
12.0,180
12.5,187
13.0,191
13.5,194
14.0,197
14.5,199
15.0,201
15.5,202
16.0,203
16.5,203
17.0,202
17.5,200
18.0,198
18.5,195
19.0,192
19.5,188
20.0,184
20.5,182
21.0,179
21.5,177
22.0,175
22.5,175
23.0,174
23.5,174
24.0,174
24.5,175
25.0,177
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
