Manufacturer,Fuhrländer
Model,FL_1250-62_Fuhrländer
Capacity,1250
Usage,Onshore
HubHeight,"50, 85"
Source,World Wind Farm 2023
RotorDiameter,62.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,12
5.5,65
6.0,123
6.5,180
7.0,252
7.5,320
8.0,393
8.5,460
9.0,534
9.5,605
10.0,690
10.5,775
11.0,869
11.5,940
12.0,1010
12.5,1060
13.0,1109
13.5,1160
14.0,1204
14.5,1230
15.0,1246
15.5,1270
16.0,1281
16.5,1290
17.0,1292
17.5,1292
18.0,1292
18.5,1291
19.0,1289
19.5,1283
20.0,1274
20.5,1267
21.0,1259
21.5,1253
22.0,1247
22.5,1238
23.0,1228
23.5,1221
24.0,1213
24.5,1208
25.0,1202
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
