Manufacturer,Gamesa
Model,G114-2000_Gamesa
Capacity,2000
Usage,Onshore
HubHeight,"80, 125"
Source,World Wind Farm 2023
RotorDiameter,114.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,6
3.0,43
3.5,76
4.0,135
4.5,220
5.0,306
5.5,435
6.0,584
6.5,724
7.0,917
7.5,1110
8.0,1382
8.5,1586
9.0,1726
9.5,1817
10.0,1875
10.5,1913
11.0,1934
11.5,1970
12.0,1980
12.5,2000
13.0,2000
13.5,2000
14.0,2000
14.5,2000
15.0,2000
15.5,2000
16.0,2000
16.5,2000
17.0,2000
17.5,2000
18.0,2000
18.5,2000
19.0,2000
19.5,2000
20.0,2000
20.5,2000
21.0,2000
21.5,1958
22.0,1900
22.5,1820
23.0,1707
23.5,1611
24.0,1490
24.5,1370
25.0,1215
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
