Manufacturer,Senvion
Model,2.4M110_Senvion
Capacity,2430
Usage,Onshore
HubHeight,"95, 120"
Source,World Wind Farm 2023
RotorDiameter,109.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,50
4.0,108
4.5,192
5.0,280
5.5,410
6.0,540
6.5,705
7.0,869
7.5,1090
8.0,1311
8.5,1580
9.0,1842
9.5,2070
10.0,2240
10.5,2338
11.0,2391
11.5,2410
12.0,2430
12.5,2430
13.0,2430
13.5,2430
14.0,2430
14.5,2430
15.0,2430
15.5,2430
16.0,2430
16.5,2430
17.0,2430
17.5,2430
18.0,2430
18.5,2430
19.0,2430
19.5,2430
20.0,2430
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
