Manufacturer,EWT
Model,Directwind_250-52_EWT
Capacity,250
Usage,Onshore
HubHeight,"35, 75"
Source,World Wind Farm 2023
RotorDiameter,51.5
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,4
3.0,12
3.5,26
4.0,43
4.5,62
5.0,83
5.5,111
6.0,139
6.5,183
7.0,222
7.5,241
8.0,248
8.5,249
9.0,250
9.5,250
10.0,250
10.5,250
11.0,250
11.5,250
12.0,250
12.5,250
13.0,250
13.5,250
14.0,250
14.5,250
15.0,250
15.5,250
16.0,250
16.5,250
17.0,250
17.5,250
18.0,250
18.5,250
19.0,250
19.5,250
20.0,250
20.5,250
21.0,250
21.5,250
22.0,250
22.5,250
23.0,250
23.5,250
24.0,250
24.5,250
25.0,250
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
