Manufacturer,Ecotecnia
Model,100_Ecotecnia
Capacity,3000
Usage,Onshore
HubHeight,"70, 100"
Source,World Wind Farm 2023
RotorDiameter,100.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,19
3.5,58
4.0,102
4.5,168
5.0,237
5.5,335
6.0,434
6.5,578
7.0,721
7.5,901
8.0,1080
8.5,1315
9.0,1550
9.5,1821
10.0,2091
10.5,2365
11.0,2600
11.5,2755
12.0,2843
12.5,2900
13.0,2950
13.5,2975
14.0,2989
14.5,2998
15.0,3000
15.5,3000
16.0,3000
16.5,3000
17.0,3000
17.5,3000
18.0,3000
18.5,3000
19.0,3000
19.5,3000
20.0,3000
20.5,3000
21.0,3000
21.5,3000
22.0,3000
22.5,3000
23.0,3000
23.5,3000
24.0,3000
24.5,3000
25.0,3000
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
