Manufacturer,WESPA
Model,WESPA_250-31_WESPA
Capacity,250
Usage,Onshore
HubHeight,"36, 50"
Source,World Wind Farm 2023
RotorDiameter,31.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,6
4.0,13
4.5,19
5.0,26
5.5,34
6.0,42
6.5,50
7.0,62
7.5,80
8.0,102
8.5,124
9.0,146
9.5,164
10.0,181
10.5,198
11.0,214
11.5,227
12.0,241
12.5,247
13.0,253
13.5,253
14.0,252
14.5,252
15.0,251
15.5,249
16.0,248
16.5,247
17.0,246
17.5,246
18.0,246
18.5,246
19.0,246
19.5,246
20.0,246
20.5,246
21.0,246
21.5,246
22.0,246
22.5,246
23.0,246
23.5,246
24.0,246
24.5,246
25.0,246
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
