Manufacturer,Micon
Model,M530_Micon
Capacity,250
Usage,Onshore
HubHeight,"30, 30"
Source,World Wind Farm 2023
RotorDiameter,26.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,4
5.5,11
6.0,20
6.5,31
7.0,43
7.5,57
8.0,72
8.5,88
9.0,104
9.5,122
10.0,139
10.5,157
11.0,174
11.5,190
12.0,207
12.5,221
13.0,235
13.5,247
14.0,256
14.5,264
15.0,267
15.5,268
16.0,268
16.5,261
17.0,254
17.5,251
18.0,249
18.5,246
19.0,243
19.5,240
20.0,237
20.5,234
21.0,231
21.5,228
22.0,225
22.5,223
23.0,222
23.5,222
24.0,222
24.5,222
25.0,222
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
