Manufacturer,Windey
Model,WD50-750kW_Windey
Capacity,750
Usage,Onshore
HubHeight,"50, 65"
Source,World Wind Farm 2023
RotorDiameter,50.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,7
4.0,16
4.5,33
5.0,52
5.5,76
6.0,102
6.5,137
7.0,172
7.5,216
8.0,260
8.5,313
9.0,365
9.5,422
10.0,478
10.5,528
11.0,578
11.5,619
12.0,656
12.5,686
13.0,712
13.5,734
14.0,751
14.5,758
15.0,765
15.5,767
16.0,768
16.5,764
17.0,760
17.5,753
18.0,746
18.5,732
19.0,720
19.5,713
20.0,707
20.5,702
21.0,696
21.5,694
22.0,691
22.5,690
23.0,689
23.5,690
24.0,690
24.5,693
25.0,696
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
