Manufacturer,Repower
Model,5M_Repower
Capacity,5000
Usage,Offshore
HubHeight,"90, 120"
Source,World Wind Farm 2023
RotorDiameter,126.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,70
4.0,141
4.5,240
5.0,343
5.5,490
6.0,636
6.5,850
7.0,1067
7.5,1340
8.0,1615
8.5,1950
9.0,2289
9.5,2720
10.0,3166
10.5,3575
11.0,3984
11.5,4366
12.0,4748
12.5,4930
13.0,4978
13.5,4990
14.0,4999
14.5,5000
15.0,5000
15.5,5000
16.0,5000
16.5,5000
17.0,5000
17.5,5000
18.0,5000
18.5,5000
19.0,5000
19.5,5000
20.0,5000
20.5,5000
21.0,5000
21.5,5000
22.0,5000
22.5,5000
23.0,5000
23.5,5000
24.0,5000
24.5,5000
25.0,5000
25.5,5000
26.0,5000
26.5,5000
27.0,5000
27.5,5000
28.0,5000
28.5,5000
29.0,5000
29.5,5000
30.0,5000
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
