Manufacturer,Avantis
Model,AV_1010_Avantis
Capacity,2300
Usage,Onshore
HubHeight,"99, 99"
Source,World Wind Farm 2023
RotorDiameter,100.6
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,13
2.5,47
3.0,81
3.5,136
4.0,191
4.5,274
5.0,357
5.5,461
6.0,565
6.5,732
7.0,899
7.5,1090
8.0,1281
8.5,1497
9.0,1713
9.5,1895
10.0,2074
10.5,2185
11.0,2243
11.5,2285
12.0,2300
12.5,2300
13.0,2300
13.5,2300
14.0,2300
14.5,2300
15.0,2300
15.5,2300
16.0,2300
16.5,2300
17.0,2300
17.5,2300
18.0,2300
18.5,2300
19.0,2300
19.5,2300
20.0,2300
20.5,2300
21.0,2300
21.5,2300
22.0,2300
22.5,2300
23.0,2300
23.5,2300
24.0,2300
24.5,2300
25.0,2300
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
