Manufacturer,Aeronautica Windpower
Model,33-225_Aeronautica_Windpower
Capacity,225
Usage,Onshore
HubHeight,"30, 50"
Source,World Wind Farm 2023
RotorDiameter,33.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,1
2.5,5
3.0,12
3.5,23
4.0,35
4.5,51
5.0,66
5.5,84
6.0,102
6.5,121
7.0,140
7.5,157
8.0,174
8.5,188
9.0,202
9.5,209
10.0,216
10.5,221
11.0,225
11.5,227
12.0,228
12.5,227
13.0,226
13.5,226
14.0,226
14.5,226
15.0,225
15.5,225
16.0,225
16.5,224
17.0,223
17.5,223
18.0,222
18.5,222
19.0,221
19.5,220
20.0,218
20.5,217
21.0,216
21.5,215
22.0,214
22.5,214
23.0,214
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
