Manufacturer,Senvion
Model,MM92-2050_Senvion
Capacity,2050
Usage,Onshore
HubHeight,"63.75, 100"
Source,World Wind Farm 2023
RotorDiameter,92.5
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,42
4.0,85
4.5,142
5.0,200
5.5,276
6.0,353
6.5,472
7.0,591
7.5,740
8.0,890
8.5,1138
9.0,1386
9.5,1557
10.0,1728
10.5,1835
11.0,1942
11.5,1990
12.0,2009
12.5,2040
13.0,2050
13.5,2050
14.0,2050
14.5,2050
15.0,2050
15.5,2050
16.0,2050
16.5,2050
17.0,2050
17.5,2050
18.0,2050
18.5,2050
19.0,2050
19.5,2050
20.0,2050
20.5,2050
21.0,2050
21.5,2050
22.0,2050
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
