Manufacturer,Suzlon
Model,S120-2100_Suzlon
Capacity,2100
Usage,Onshore
HubHeight,"120, 140"
Source,World Wind Farm 2023
RotorDiameter,120.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,60
4.0,144
4.5,225
5.0,324
5.5,470
6.0,632
6.5,820
7.0,1030
7.5,1280
8.0,1532
8.5,1780
9.0,2015
9.5,2155
10.0,2235
10.5,2248
11.0,2250
11.5,2250
12.0,2250
12.5,2250
13.0,2250
13.5,2250
14.0,2250
14.5,2250
15.0,2250
15.5,2250
16.0,2250
16.5,2250
17.0,2250
17.5,2250
18.0,2250
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
