Manufacturer,GE Energy
Model,5.3-158_GE_Energy
Capacity,5300
Usage,Onshore
HubHeight,"101, 161"
Source,World Wind Farm 2023
RotorDiameter,158.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,88
3.5,186
4.0,310
4.5,466
5.0,657
5.5,892
6.0,1168
6.5,1496
7.0,1876
7.5,2303
8.0,2761
8.5,3227
9.0,3668
9.5,4075
10.0,4452
10.5,4762
11.0,4998
11.5,5165
12.0,5253
12.5,5298
13.0,5300
13.5,5300
14.0,5300
14.5,5300
15.0,5300
15.5,5300
16.0,5300
16.5,5300
17.0,5300
17.5,5300
18.0,5300
18.5,5300
19.0,5300
19.5,5300
20.0,5300
20.5,5300
21.0,5300
21.5,5300
22.0,5300
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
