Manufacturer,Senvion
Model,2.3M124_Senvion
Capacity,2330
Usage,Onshore
HubHeight,"90, 120"
Source,World Wind Farm 2023
RotorDiameter,124.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,29
3.5,86
4.0,149
4.5,253
5.0,358
5.5,518
6.0,678
6.5,902
7.0,1126
7.5,1395
8.0,1664
8.5,1939
9.0,2144
9.5,2276
10.0,2330
10.5,2330
11.0,2330
11.5,2330
12.0,2330
12.5,2330
13.0,2330
13.5,2330
14.0,2330
14.5,2330
15.0,2330
15.5,2330
16.0,2330
16.5,2330
17.0,2330
17.5,2330
18.0,2330
18.5,0
19.0,0
19.5,0
20.0,0
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
