Manufacturer,Ecotecnia
Model,48_Ecotecnia
Capacity,750
Usage,Onshore
HubHeight,"45, 55"
Source,World Wind Farm 2023
RotorDiameter,48.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,10
5.0,24
5.5,52
6.0,87
6.5,126
7.0,165
7.5,211
8.0,261
8.5,314
9.0,366
9.5,420
10.0,474
10.5,528
11.0,582
11.5,642
12.0,699
12.5,737
13.0,768
13.5,773
14.0,775
14.5,770
15.0,763
15.5,774
16.0,784
16.5,795
17.0,806
17.5,811
18.0,815
18.5,825
19.0,836
19.5,835
20.0,834
20.5,0
21.0,0
21.5,0
22.0,0
22.5,0
23.0,0
23.5,0
24.0,0
24.5,0
25.0,0
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
