Manufacturer,Ecotecnia
Model,48700_Ecotecnia
Capacity,700
Usage,Onshore
HubHeight,"45, 55"
Source,World Wind Farm 2023
RotorDiameter,48.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,15
4.5,32
5.0,48
5.5,69
6.0,93
6.5,120
7.0,153
7.5,187
8.0,236
8.5,286
9.0,343
9.5,399
10.0,458
10.5,517
11.0,570
11.5,619
12.0,660
12.5,694
13.0,719
13.5,739
14.0,746
14.5,749
15.0,749
15.5,747
16.0,742
16.5,736
17.0,728
17.5,720
18.0,710
18.5,701
19.0,692
19.5,684
20.0,675
20.5,667
21.0,661
21.5,655
22.0,651
22.5,648
23.0,646
23.5,644
24.0,644
24.5,645
25.0,646
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
