Manufacturer,Enercon
Model,E70-2000_Enercon
Capacity,2000
Usage,Onshore
HubHeight,"64, 113"
Source,World Wind Farm 2023
RotorDiameter,70.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,2
2.5,10
3.0,18
3.5,37
4.0,56
4.5,92
5.0,127
5.5,184
6.0,240
6.5,320
7.0,400
7.5,513
8.0,626
8.5,759
9.0,892
9.5,1058
10.0,1223
10.5,1407
11.0,1590
11.5,1710
12.0,1830
12.5,1890
13.0,1950
13.5,2010
14.0,2050
14.5,2050
15.0,2050
15.5,2050
16.0,2050
16.5,2050
17.0,2050
17.5,2050
18.0,2050
18.5,2050
19.0,2050
19.5,2050
20.0,2050
20.5,2050
21.0,2050
21.5,2050
22.0,2050
22.5,2050
23.0,2050
23.5,2050
24.0,2050
24.5,2050
25.0,2050
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
