Manufacturer,Senvion
Model,3.6M118_NES_Senvion
Capacity,3600
Usage,Onshore
HubHeight,"91, 91"
Source,World Wind Farm 2023
RotorDiameter,118.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,75
4.0,168
4.5,250
5.0,357
5.5,490
6.0,660
6.5,840
7.0,1038
7.5,1274
8.0,1530
8.5,1850
9.0,2175
9.5,2530
10.0,2876
10.5,3130
11.0,3369
11.5,3500
12.0,3605
12.5,3660
13.0,3680
13.5,3680
14.0,3680
14.5,3680
15.0,3680
15.5,3680
16.0,3680
16.5,3680
17.0,3680
17.5,3680
18.0,3680
18.5,3680
19.0,3680
19.5,3680
20.0,3680
20.5,3680
21.0,3636
21.5,3565
22.0,3427
22.5,3195
23.0,2933
23.5,2575
24.0,2211
24.5,1860
25.0,1509
25.5,1130
26.0,750
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
