Manufacturer,Ecotecnia
Model,44_Ecotecnia
Capacity,600
Usage,Onshore
HubHeight,"45, 55"
Source,World Wind Farm 2023
RotorDiameter,44.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,4
4.5,16
5.0,32
5.5,51
6.0,72
6.5,102
7.0,132
7.5,170
8.0,207
8.5,252
9.0,297
9.5,342
10.0,386
10.5,431
11.0,475
11.5,511
12.0,546
12.5,573
13.0,600
13.5,615
14.0,629
14.5,636
15.0,643
15.5,643
16.0,643
16.5,642
17.0,640
17.5,639
18.0,637
18.5,632
19.0,627
19.5,623
20.0,619
20.5,615
21.0,612
21.5,607
22.0,602
22.5,596
23.0,591
23.5,586
24.0,581
24.5,581
25.0,581
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
