Manufacturer,Bonus
Model,B41-600_Bonus
Capacity,600
Usage,Onshore
HubHeight,"42, 50"
Source,World Wind Farm 2023
RotorDiameter,41.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,0
4.0,0
4.5,0
5.0,5
5.5,24
6.0,46
6.5,73
7.0,103
7.5,138
8.0,172
8.5,211
9.0,250
9.5,294
10.0,338
10.5,378
11.0,417
11.5,450
12.0,483
12.5,510
13.0,534
13.5,555
14.0,573
14.5,589
15.0,600
15.5,612
16.0,620
16.5,626
17.0,629
17.5,629
18.0,628
18.5,629
19.0,630
19.5,630
20.0,630
20.5,626
21.0,620
21.5,620
22.0,620
22.5,620
23.0,620
23.5,620
24.0,620
24.5,620
25.0,620
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
