Manufacturer,Wobben
Model,E53-800_Wobben
Capacity,800
Usage,Onshore
HubHeight,"60, 75"
Source,World Wind Farm 2023
RotorDiameter,52.9
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,2
2.5,8
3.0,14
3.5,26
4.0,38
4.5,57
5.0,77
5.5,109
6.0,141
6.5,185
7.0,228
7.5,282
8.0,336
8.5,408
9.0,480
9.5,562
10.0,645
10.5,710
11.0,744
11.5,765
12.0,785
12.5,802
13.0,810
13.5,810
14.0,810
14.5,810
15.0,810
15.5,810
16.0,810
16.5,810
17.0,810
17.5,810
18.0,810
18.5,810
19.0,810
19.5,810
20.0,810
20.5,810
21.0,810
21.5,810
22.0,810
22.5,810
23.0,810
23.5,810
24.0,810
24.5,810
25.0,810
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
