Manufacturer,GE Energy
Model,1.6-100_GE_Energy
Capacity,1600
Usage,Onshore
HubHeight,"80, 100"
Source,World Wind Farm 2023
RotorDiameter,100.0
Power curve,
windspeed(m/s),power(kW)
0.0,0
0.5,0
1.0,0
1.5,0
2.0,0
2.5,0
3.0,0
3.5,20
4.0,50
4.5,120
5.0,197
5.5,325
6.0,464
6.5,620
7.0,778
7.5,945
8.0,1109
8.5,1265
9.0,1408
9.5,1490
10.0,1547
10.5,1576
11.0,1600
11.5,1600
12.0,1600
12.5,1600
13.0,1600
13.5,1600
14.0,1600
14.5,1600
15.0,1600
15.5,1600
16.0,1600
16.5,1600
17.0,1600
17.5,1600
18.0,1600
18.5,1600
19.0,1600
19.5,1600
20.0,1600
20.5,1600
21.0,1600
21.5,1600
22.0,1600
22.5,1600
23.0,1600
23.5,1600
24.0,1600
24.5,1600
25.0,1600
25.5,0
26.0,0
26.5,0
27.0,0
27.5,0
28.0,0
28.5,0
29.0,0
29.5,0
30.0,0
30.5,0
31.0,0
31.5,0
32.0,0
32.5,0
33.0,0
33.5,0
34.0,0
34.5,0
35.0,0
