Manufacturer,Fuhrlaender
Model,FL_MD_77
Capacity,1525
Usage,Onshore
HubHeight,"61.5,85,100,114.5"
RotorDiameter,77
Power curve,
windspeed(m/s),power(kW)
1,0
2,0
3,0
4,54
5,141
6,273
7,448
8,667
9,910
10,1146
11,1377
12,1465
13,1509
14,1519
15,1527
16,1524
17,1522
18,1525
19,1525
20,1525
21,1525
22,1525
23,1525
24,1525
25,1525
