Manufacturer,General Electric
Model,GE_2750_103
Capacity,2780
Usage,Onshore
HubHeight,"75,85,98.3,123.5"
RotorDiameter,103
Power curve,
windspeed(m/s),power(kW)
2,0
3,17
3.5,55
4,104
4.5,169
5,251
5.5,352
6,470
6.5,610
7,772
7.5,959
8,1170
8.5,1405
9,1656
9.5,1899
10,2120
10.5,2291
11,2441
11.5,2567
12,2661
12.5,2730
13,2768
13.5,2780
15,2780
17,2780
19,2780
21,2780
22,2780
23,2780
24,2780
25,2780
