Manufacturer,Senvion
Model,6200M126
Capacity,6150
Usage,Offshore
HubHeight,126
RotorDiameter,90
Source,https://en.wind-turbine-models.com/turbines/885-senvion-6.2m126-offshore#datasheet
Power curve,
windspeed(m/s),power(kW)
0.141023074,0
2.001922486,0
3.609,32.7877
4.173,112.2484
4.70951,214.484
5.302,373.60876
5.81055,566.9118
6.3189,771.597
6.77094,999.06779
7.2796,1272.0456
7.73183304,1556.4268
8.24,1897.697
8.665,2227.617
9.033,2534.795
9.372303667,2830.601
9.7403,3194.689
10.1648,3592.902
10.533,4002.518488
11.014,4412.092
11.4956,4981.015
11.977,5436.117
12.401,5777.419
12.74,5982.169
13.164,6141.358
13.869,6150
14.827,6150
15.814,6150
16.999,6150
24.076,6150
26.557,6150
30,6150
