Manufacturer,Gamesa
Model,G83
Capacity,2000
Usage,Onshore
HubHeight,"67,78"
RotorDiameter,83
Power curve,
windspeed(m/s),power(kW)
3.5,0
4,77.17
4.5,119.68
5,162.2
5.5,229.5
6,296.8
6.5,386.19
7,483.7
7.5,606.5
8,729.3
8.5,882
9,1034.7
9.5,1211.57
10,1373.7
10.5,1523.55
11,1673.4
11.5,1770.45
12,1867.5
12.5,1914.56
13,1957.7
13.5,1973.4
14,1989.1
14.5,1993.53
15,1997.6
15.5,1998.6
16,1999.6
16.5,1999.9
17,2000
20,2000
23,2000
25,2000
