mean_T_amb_K,31.44177394442923,78.60443486107327,157.20886972214655,235.81330458321946,314.4177394442931,393.0221743053653,471.6266091664389
-20.957382636473138,H,H,T,T,T,S,S
-10.95738263647312,T,H,T,T,T,S,S
-0.9573826364731158,T,H,T,T,S,S,S
9.042617363526883,H,H,T,T,S,S,S
19.04261736352687,H,T,T,T,S,S,S
29.042617363526954,T,T,T,T,S,S,S
39.042617363527036,H,T,T,T,S,S,S
